V1,V2,V4,DP,MT,8m,5,8I,TEO,2,F1,STPc,7A,46d,10,9/46v,9/46d,F5,TEpd,PBr,7m,7B,F2,STPi,PROm,F7,8B,STPr,24c
0,0.732157206186421,0.12773034369581,0.000490637041097,0.058852547353404,0,0,0.000214684118525,0.027034555509039,0,0,0.001653520357288,0,0,0,0,0,0,0.003630823996745,0,0,0,0,0.000432133483605,0,0,0,1.93697710907019E-05,0
0.763562237306823,0,0.151331499484248,0.000421148756881,0.035730857719322,2.46772868506779E-05,0,0.000108907798176,0.003274190206353,0,0,8.74023125401056E-05,0,0,0,0,0,0,0.001052681605889,0,0,0,0,6.94670065305665E-05,0,0,0,8.89861804461767E-06,0
0.013046690615097,0.390846457627469,0,9.74080234077859E-05,0.084679357732758,0,0,0.002420799471318,0.237817167951195,0,0,0.000107935073749,0.000104648104497,0,0,1.60403789806874E-05,3.6200405444541E-06,0,0.074878781327724,0,0,0,0,0.000232304993757,0,0,0,0.000256584667704,0
1.19246836977649E-05,0.079024878865088,0.337607669956554,0,0.16242214175269,0.001931798759038,0,0,0.000337866038103,0,0,0.000337866038103,0.117974870716554,0.000755229967525,0,0,0.000783054229487,1.58995782636866E-05,0.001216317737172,0,0.000234518779389,0,0.001538284197012,4.76987347910597E-05,0,0.000647907814245,0.001124895162156,7.94978913184328E-06,2.78242619614515E-05
0.018994541507473,0.119462965334255,0.380927139696314,0.014645317101788,0,0.000628337110304,0,0.002275116361481,0.038200513985712,2.38232079736277E-05,2.97790099670346E-06,0.001780784796029,0.000452640951499,0,0,3.8712712957145E-05,5.95580199340693E-06,2.97790099670346E-06,0.013552427435998,1.78674059802208E-05,0,0,5.95580199340693E-06,0.000217386772759,2.97790099670346E-06,0,0,0.000242698931231,0
0,0.000121372480004,0.000109235232003,0.000206333216007,0.000691823136022,0,8.49607360027187E-05,0.183600150501875,0,4.85489920015536E-05,0.000825332864026,0.033668725953077,0.001602116736051,0.110715976259543,0.002087606656067,0.091684771394934,0.037406998337197,0.01468607008047,3.64117440011652E-05,0.001177313056038,0.000546176160017,0.000728234880023,0.021580026944691,0.013994246944448,0.000582587904019,0.106382978723404,0.017210617664551,0.001432195264046,0.002366763360076
0,0,0,0,0,0,0,0,0,0.036345375223628,0.336869527007941,0,0.150560246068862,0.00018831800634,0,0,0,0.006842220897021,0,0,0.00182040739462,0.011393239383572,0.117573208624965,0.00200872540096,0,0.0003138633439,0,0,0
8.16684871933604E-05,0.00357299631471,0.012781118245761,0.000602305093051,0.021346100840165,0.415416968669927,6.12513653950203E-05,0,0.00147003276948,0.000204171217983,0.001408781404085,0.011535673816062,0.001755872474657,0.038966076952132,0.000530845166757,0.024745551619588,0.010147309533775,0.012658615514971,0.000153128413488,0.000837101993732,0.00012250273079,3.06256826975101E-05,0.018987923272456,0.005869922517023,0.001745663913758,0.02607266453648,0.020611084455424,0.001122941698909,0.002429637494002
0,0.024615285970762,0.255873300846371,0.001166965888689,0.024397281354193,0,2.56476019492177E-05,0.006084893562452,0,3.84714029238266E-05,0,1.92357014619133E-05,0.000461656835086,1.28238009746089E-05,0,0.000391125929726,2.56476019492177E-05,3.84714029238266E-05,0.231322133880482,5.12952038984355E-05,5.12952038984355E-05,2.56476019492177E-05,6.41190048730444E-06,0.000128238009746,1.28238009746089E-05,4.48833034111311E-05,1.28238009746089E-05,0.001314439599897,0
0,0,0,0,0,0,0,0,0,0,0.000444163919863,0,5.84426210346682E-06,1.16885242069336E-05,0,0.010829417677724,0,0.150104027865442,0,0,0,0.002068868784627,0,0,0.044188465764313,0,0,0,0.000245459008346
0,0,0,0,0,4.50181760885958E-05,0.108977749766468,0,0,0.125465656758916,0,9.00363521771915E-05,0.000360145408709,0,0,0,0,0.009003635217719,0,0,0,0,0.402046076103227,0,0.000360145408709,0.003342599574578,0.000360145408709,0,0.004321744904505
0,0.000397402689565,0.001390909413476,0.000198701344782,0.000738033566334,0.007252599084555,2.83859063974737E-05,0.000510946315155,0.000170315438385,7.09647659936841E-05,0,0,0.001447681226271,0.007167441365362,0.001447681226271,0,0.002299258418195,0.001036085583508,0.000808998332328,0.020153993542206,4.25788595962105E-05,0.00022708725118,0,0.40955185750275,0,0.000723840613136,0.000794805379129,0.012397544619097,1.41929531987368E-05
1.82776929895909E-05,3.65553859791817E-05,0.003043235882767,0.020763459236175,5.48330789687726E-05,0.000539191943193,0.010025314604791,0.000466081171235,0.002138490079782,1.82776929895909E-05,0.000109666157938,0.013635158970235,0,0.014814070168063,0,0.003820037834824,0.002951847417819,0.001325132741745,0.002796487027407,0,0.021613371960191,0.000475220017729,0.007100883726456,0.041673140016267,0,0.000155360390412,0.007448159893258,0.002522321632564,0
0,0.002259244073668,0,0.00025939468994,1.67351412864303E-05,0.036633224275996,0,6.69405651457212E-05,1.67351412864303E-05,1.67351412864303E-05,6.69405651457212E-05,0.004472466508799,0.000518789379879,0,0.076521433532203,0.000117145989005,0.595938381209783,5.02054238592909E-05,6.69405651457212E-05,0.00046858395602,0.000753081357889,0,0.000133881130291,0.013316988678677,0,0.007430402731175,0.038976144056096,0.000585729945025,0.00309600113799
0,7.22852641596684E-06,0,0.000112387507718,0,0.005716883093412,0,0.000438483898576,0,0,1.55865207768322E-06,0.004656933145472,0.000167839145373,0.186851125255388,0,2.33364869092825E-05,0.0112344498716,1.12309150828773E-05,9.10752903274487E-06,0.026299937751119,0,0,6.50997697384368E-05,0.020526960525347,0,0.002021100842432,0.018648939227281,0.03478846552724,0.00643233957705
0,0,0,0,0,0.033955700675249,6.92267088180405E-05,0.002999824048782,0,0.001782587752065,5.76889240150337E-05,0.000974942815854,0.021973711157326,0.037324733837727,0.000236524588462,0,0.014254933124115,0.017283601634904,0.000103840063227,1.15377848030067E-05,0.0007672626894,0.019669038642926,0.005099700882929,0.000703804872983,0.008987934361542,0.009264841196814,0.016395192205073,0.000262484604268,0.00659961290732
0,0.001813197906475,8.54183167932411E-05,4.65918091599497E-05,0.000225193744273,0.221532404603271,0.000970662690832,0.014703598440728,7.76530152665828E-06,4.65918091599497E-05,5.4357110686608E-05,0.025621612387209,0.000729938343506,0.195724424979422,0.007885663700321,0.016835173709795,0,0.000636754725186,0,0.000535805805339,0.034695367221109,0.001110438118312,0.021863206448306,0.006491792076286,0.000330025314883,0.055929584245756,0.070974855953657,0.00015142337977,0.003036232896923
5.25649296346737E-05,3.34504097675197E-05,0,0,0,2.86717798007311E-05,9.55725993357704E-05,0.000821924354288,0,0.198709769908967,0.00416696533104,4.77862996678852E-06,7.16794495018278E-05,9.55725993357704E-05,9.07939693689819E-05,0.002795498530571,3.34504097675197E-05,0,2.86717798007311E-05,3.82290397343082E-05,4.77862996678852E-06,0.075636155114329,0.001103863522328,1.91145198671541E-05,0.044369579241631,3.82290397343082E-05,4.30076697010967E-05,3.82290397343082E-05,0.008281365732445
0,0.000175444752447,0.027389432210654,8.02033154045505E-05,1.50381216383532E-05,2.5063536063922E-05,0,0.004594146160517,0.137626382880602,0,0,5.01270721278441E-06,0.002020121006752,1.50381216383532E-05,0,0.001418596141218,0,7.51906081917661E-06,0,6.01524865534129E-05,0,0,0,2.5063536063922E-05,0,0,0,0.000428586466693,0
0,1.13892622035945E-05,2.27785244071889E-05,5.69463110179723E-05,0,0.00044418122594,0,2.84731555089861E-06,0,0,0,0.052894580989044,2.27785244071889E-05,0.004196943122025,0.0088722352566,0,0.004122912917701,0,0,0,0.000216395981868,0,0,0.284227580237352,8.54194665269584E-06,0.000133823830892,0.000925377554042,0.067800277897998,0.000111045306485
2.67983158747268E-05,0.001450086647888,0.000366243650288,0.013428933843891,0.000914120330393,0.018574210491838,0.007110486478761,0.000577652586633,0,1.19103626109897E-05,0.000306691837233,0.011675132949423,0.078480356834464,0.004293685721262,0,0.001238677711543,0.021581577051113,2.97759065274742E-05,5.95518130549485E-06,5.95518130549485E-06,0,5.95518130549485E-06,0.031693474907844,8.93277195824227E-05,0,0.013414045890627,0.038399009057831,5.95518130549485E-05,0.001649585221622
0,3.9769337840525E-05,0,0,0.001696825081196,0.000185590243256,0.021793597136608,0,0,0.003075495459667,0.000941207662226,0.009889308676344,0.397269172134951,0,0,0.012699675217074,0.00025187247299,0.036627560151124,0,0,0.018625306555313,0,0.002929674554252,7.95386756810499E-05,0.000662822297342,0,0,0.000159077351362,3.9769337840525E-05
0,0,0,0,8.75127987468167E-06,0.000236284556616,0.018762744051318,1.75025597493633E-05,0,0,0.16275630310933,0.000376305034611,0.008339969720572,0,0,0.000253787116366,0.000166274317619,0.041542325565114,0,6.12589591227717E-05,0.007473593012978,5.250767924809E-05,0,0.000446315273609,7.87615188721351E-05,0.024512334928983,0.000140020477995,4.37563993734084E-05,0.031242069152614
0,0,0,0,4.15554193461255E-05,4.15554193461255E-05,0,0,0,0,0,0.227993808242517,0,0.003501044079911,0.023260645978994,0,0.000197388241894,0,0.000145443967711,0.334770458252387,0,0,0,0,0,8.3110838692251E-05,0.000207777096731,0.024954029317348,0.000135055112875
0,0,0,0,0,0,0,0,0,0.027517412413214,6.6280399228938E-05,0,1.65700998072345E-05,1.1046733204823E-05,0,0.018077978889693,0,0.314323746610034,0,0,0,0.001110196687085,1.1046733204823E-05,0,0,0,0,0,0.002463421504676
0,9.02710387939789E-05,0,0,0,0.036909570986888,4.51355193969895E-05,0.003125634718242,4.51355193969895E-05,0,0.000315948635779,0.001839272415427,0.002189072690754,0.00090271038794,0.001489472140101,0.003780099749498,0.025072781025028,0.002031098372865,0,0.00255015684593,0.005619372164925,5.64193992462368E-05,0.098959626277899,0.011633680124574,0.000180542077588,0,0.103766559093679,0.006567218072262,0.093543363950261
0,0,7.72908027809231E-06,0.000104342583754,0,0.049095117926442,0,0.000935218713649,0,0,7.72908027809231E-06,5.41035619466462E-05,0.000888844231981,0.039959345037737,0.131970181208287,0.000146852525284,0.086998527610207,7.72908027809231E-06,0,0.000351673152653,0.002651074535386,0,8.50198830590154E-05,0.014376089317252,0,0.151227184721154,0,0.019137202768557,0.093707369291591
0,5.45617734758851E-06,2.72808867379425E-06,3.81932414331195E-05,1.63685320427655E-05,0.000354651527593,0,4.91055961282966E-05,5.45617734758851E-06,0,1.0912354695177E-05,0.030261323614063,0.000193694295839,0.010104840447734,0.032955311179435,0.000538797513074,0.000102303325267,0,0.000957559124502,0.198558477944767,0,0,1.63685320427655E-05,0.240140005510739,0,5.18336848020908E-05,0.000600179508235,0,0.000272808867379
0,0,0,0,0,2.76916260522818E-05,0.025573216659282,8.30748781568454E-05,0,0.002243021710235,0.011173571112096,0.000152303943288,0.007961342490031,0.000484603455915,0.000152303943288,0.000747673903412,0.005109105006646,0.022125609215773,0,0,0.019522596366859,0.004319893664156,0.049111098803722,4.15374390784227E-05,0.002201484271156,0.080471865307931,0.042866637128932,2.76916260522818E-05,0
